model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,3000,12,5012,3000,2979,1.986,522,797,793,0.7816666666666666,2345,0.015919786141231906,0.0967741935483871,0.06083058433673469,0.4713333333333333,1414,0.028538648835261762,0.10526315789473684,0.04027523287267207
ER,2,3000,13,5013,3000,3005,2.0033333333333334,512,793,784,0.792,2376,0.013283157288733527,0.09090909090909091,0.05455269038885772,0.4723333333333333,1417,0.028674223705909527,0.13925729442970822,0.03382946649913888
ER,2,3000,14,5014,3000,3031,2.0206666666666666,487,785,810,0.7993333333333333,2398,0.008819658407515307,0.037037037037037035,0.09473214687132425,0.48333333333333334,1450,0.030549891060824556,0.12171052631578948,0.05813985133150324
ER,2,3000,17,5017,3000,2884,1.9226666666666667,541,810,831,0.782,2346,0.00769036817414448,0.05263157894736842,0.10043096588266798,0.444,1332,0.030560393237540853,0.09453302961275627,0.010621728156178628
ER,2,3000,16,5016,3000,3040,2.026666666666667,471,791,842,0.796,2388,0.01107250029087492,0.037037037037037035,0.10885392609093897,0.4806666666666667,1442,0.028272265576638984,0.1111111111111111,0.09121012898018376
ER,2,10000,1,12001,10000,9976,1.9952,1618,2686,2719,0.8026,8026,0.005660951876990783,0.02857142857142857,0.07500262058053815,0.4715,4715,0.024546577073463194,0.1044776119402985,0.025851475363595156
ER,2,10000,0,12000,10000,9886,1.9772,1648,2760,2728,0.7931,7931,0.0046109399620881675,0.024390243902439025,0.07922009433302751,0.4631,4631,0.02150922689264001,0.0967741935483871,0.04207259967949958
ER,2,3000,18,5018,3000,3034,2.022666666666667,455,841,787,0.8126666666666666,2438,0.005768193039547009,0.030303030303030304,0.09057535994015799,0.4613333333333333,1384,0.035155699311610514,0.0871191876002138,0.008268305149409214
ER,2,3000,19,5019,3000,2970,1.98,495,872,771,0.7846666666666666,2354,0.010835288154887435,0.037037037037037035,0.07377584370954966,0.46366666666666667,1391,0.028419826362620058,0.08333333333333333,0.02653490389004356
ER,2,10000,2,12002,10000,9888,1.9776,1655,2736,2719,0.7927,7927,0.005351375753285259,0.024390243902439025,0.06472871102475389,0.4651,4651,0.02707343655076011,0.09754521963824289,0.014116943649688575
ER,2,10000,3,12003,10000,10104,2.0208,1582,2650,2701,0.8048,8048,0.007279825388570194,0.06382978723404255,0.0801628590110857,0.4828,4828,0.020440879594187056,0.10344827586206896,0.0707765083378403
ER,2,10000,4,12004,10000,10078,2.0156,1508,2774,2712,0.8108,8108,0.008631655017719009,0.034482758620689655,0.07465074780863094,0.4772,4772,0.02834130188425288,0.0978588421887391,0.02386139877497772
ER,2,10000,5,12005,10000,9958,1.9916,1620,2680,2762,0.7971,7971,0.00809106964783024,0.047619047619047616,0.08833219324139903,0.4661,4661,0.02389960350774789,0.1,0.08411182703217679
ER,2,10000,7,12007,10000,10172,2.0344,1551,2702,2691,0.8058,8058,0.00794656507002256,0.05263157894736842,0.06308111113354334,0.4821,4821,0.030060783342370057,0.11571516267648864,0.037190752571303005
ER,2,10000,8,12008,10000,10007,2.0014,1625,2697,2678,0.7999,7999,0.009426762018793555,0.045454545454545456,0.07426685834665513,0.4728,4728,0.02709991154274527,0.10648518815052041,0.04794980599036249
ER,2,10000,6,12006,10000,10161,2.0322,1552,2688,2718,0.7999,7999,0.009421843461639767,0.043478260869565216,0.08472882756051844,0.484,4840,0.03444360693382542,0.09908256880733946,0.019345562447039003
ER,2,10000,9,12009,10000,10211,2.0422,1543,2663,2647,0.8084,8084,0.012331927328352865,0.09090909090909091,0.05000753848344401,0.4945,4945,0.02429361647262218,0.09090909090909091,0.164058141715456
ER,2,10000,10,12010,10000,9994,1.9988,1650,2705,2688,0.7942,7942,0.00542254314107149,0.030303030303030304,0.07964429773332472,0.4725,4725,0.030843572219013682,0.10360006288319447,0.012553090917871618
ER,2,10000,11,12011,10000,9890,1.978,1702,2654,2751,0.7878,7878,0.008689804335062723,0.04,0.08974132038814553,0.4652,4652,0.021922993993595208,0.08571428571428572,0.0679001919106978
ER,2,10000,12,12012,10000,10057,2.0114,1619,2682,2670,0.8019,8019,0.010453846567166636,0.04918032786885246,0.0519227455505398,0.4776,4776,0.01632664631384162,0.07692307692307693,0.07715492789673024
ER,2,10000,13,12013,10000,10073,2.0146,1570,2716,2749,0.8018,8018,0.008144338465561507,0.037037037037037035,0.10316428227201056,0.4774,4774,0.02260729294396313,0.09523809523809523,0.05435366194273112
ER,2,10000,16,12016,10000,10044,2.0088,1626,2656,2696,0.798,7980,0.005406931252860403,0.03225806451612903,0.0857493402753687,0.4841,4841,0.021780109537703485,0.10112359550561797,0.029940547437279585
ER,2,10000,15,12015,10000,9935,1.987,1675,2636,2742,0.7897,7897,0.006534420646139072,0.022222222222222223,0.05713326496700139,0.4735,4735,0.025688127621659174,0.11375158428390368,0.019870168765298526
ER,2,10000,17,12017,10000,9961,1.9922,1628,2768,2693,0.7928,7928,0.006302501000154503,0.03571428571428571,0.08641606354747801,0.4693,4693,0.03167045060856166,0.09364494957579639,0.005548795320249654
ER,2,10000,18,12018,10000,10109,2.0218,1613,2663,2672,0.8009,8009,0.008296280132124467,0.037037037037037035,0.08733658514269117,0.4863,4863,0.029515702119308873,0.12305854241338113,0.0383764970436037
ER,2,10000,14,12014,10000,10017,2.0034,1575,2700,2700,0.8043,8043,0.009522700002523754,0.04,0.10745727533185466,0.4767,4767,0.025463844999705776,0.10616656071201526,0.026193944047935253
