model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,3000,3.6,,,1,3000,5436,3.624,555,0.185,0.1020971302428256,0.9683333333333334,2905,0.07929003684759928,0.8643333333333333,2593,5119,3.9483224064789817,0.10729839884222359,0.2267643655996915,0.11486618480171909
ER,3000,3.6,,,3,3000,5500,3.6666666666666665,500,0.16666666666666666,0.09090909090909091,0.9686666666666667,2906,0.07250361615053058,0.8566666666666667,2570,5161,4.016342412451362,0.118273400544183,0.20389105058365758,0.10153071110249952
ER,3000,3.6,,,2,3000,5448,3.632,514,0.17133333333333334,0.09434654919236417,0.9726666666666667,2918,0.061861868409918364,0.8673333333333333,2602,5129,3.9423520368946963,0.11365267272107471,0.212913143735588,0.10801325794501852
ER,3000,4.0,,,0,3000,6038,4.025333333333333,441,0.147,0.07303742961245445,0.9813333333333333,2944,0.11086360415254926,0.9073333333333333,2722,5812,4.270389419544452,0.12037426680654928,0.16678912564290962,0.07811424638678596
ER,3000,4.0,,,1,3000,6036,4.024,463,0.15433333333333332,0.07670642809807819,0.9856666666666667,2957,0.10503495606368118,0.9033333333333333,2710,5789,4.272324723247232,0.14924813617646926,0.17785977859778598,0.08326135774745208
ER,3000,4.0,,,2,3000,5963,3.9753333333333334,438,0.146,0.0734529599195036,0.979,2937,0.09864611003778001,0.902,2706,5729,4.2342941611234295,0.10822156375078573,0.17073170731707318,0.08064234595915518
ER,3000,4.0,,,3,3000,5885,3.9233333333333333,437,0.14566666666666667,0.07425658453695837,0.9813333333333333,2944,0.08363030259529913,0.8963333333333333,2689,5628,4.1859427296392715,0.1342655769831116,0.17441428040163628,0.08333333333333331
ER,3000,4.5,,,1,3000,6710,4.473333333333334,312,0.104,0.04649776453055141,0.99,2970,0.15055344900003442,0.933,2799,6538,4.671668453018936,0.1649279271379258,0.12004287245444802,0.05139186295503212
ER,3000,4.5,,,0,3000,6852,4.568,343,0.11433333333333333,0.05005837711617046,0.988,2964,0.09988735885908162,0.9383333333333334,2815,6703,4.762344582593251,0.18768739594754447,0.12539964476021315,0.05266298672236312
ER,3000,4.5,,,2,3000,6636,4.424,324,0.108,0.04882459312839059,0.9873333333333333,2962,0.11525848948482653,0.9306666666666666,2792,6464,4.630372492836676,0.1778480957722468,0.12034383954154727,0.051980198019801985
ER,3000,4.5,,,3,3000,6720,4.48,325,0.10833333333333334,0.04836309523809523,0.9896666666666667,2969,0.157956754937274,0.9306666666666666,2792,6543,4.686962750716332,0.16018656204902504,0.11819484240687679,0.05043558000917011
ER,3000,5.0,,,1,3000,7384,4.922666666666666,260,0.08666666666666667,0.035211267605633804,0.9913333333333333,2974,0.16346496247428943,0.9533333333333334,2860,7270,5.083916083916084,0.2050097280236587,0.09300699300699301,0.03658872077028886
ER,3000,5.0,,,0,3000,7547,5.031333333333333,266,0.08866666666666667,0.035245793030343184,0.993,2979,0.1493723946784309,0.9596666666666667,2879,7447,5.173324070857936,0.170444674165104,0.09204584925321292,0.03558479924801934
ER,3000,5.0,,,2,3000,7483,4.988666666666667,244,0.08133333333333333,0.032607243084324465,0.9923333333333333,2977,0.14396746970765495,0.9576666666666667,2873,7379,5.1367908109989555,0.20344358346560965,0.08597285067873303,0.03347337037538962
ER,3000,5.0,,,3,3000,7354,4.902666666666667,263,0.08766666666666667,0.03576285014957846,0.991,2973,0.15244030583398893,0.9546666666666667,2864,7244,5.058659217877095,0.2004962060264721,0.09497206703910614,0.03754831584759801
ER,10000,2.0,,,1,10000,9851,1.9702,2720,0.272,0.27611410009136134,0.7868,7868,0.008641853130546107,0.4642,4642,6174,2.660060318828091,0.02181806142213194,0.558164584230935,0.41966310333657275
ER,10000,2.0,,,0,10000,10090,2.018,2739,0.2739,0.27145688800792867,0.8049,8049,0.0054716418662863475,0.4739,4739,6380,2.6925511711331502,0.029060459443874143,0.5401983540831399,0.40125391849529785
ER,10000,2.0,,,3,10000,10084,2.0168,2717,0.2717,0.2694367314557715,0.7989,7989,0.00833848912114421,0.4817,4817,6497,2.6975295827278387,0.025854899184066138,0.5480589578575877,0.40634138833307687
ER,10000,2.0,,,2,10000,10043,2.0086,2740,0.274,0.2728268445683561,0.7934,7934,0.009803411879748092,0.4715,4715,6417,2.7219512195121953,0.03325041783075244,0.5342523860021209,0.39255103630980204
